Top queries,Clicks,Impressions,CTR,Position
bouldering vs top rope,0,22,0%,5.32
city bouldering yoga price,0,22,0%,5.59
"new jersey rock gym, rock climbing gym, fairfield",0,22,0%,5.82
rendezvous gym,0,22,0%,7.32
redpoint climbing center prices,0,22,0%,8.82
rock climbing ellensburg,0,22,0%,8.86
movement climbing gym,0,22,0%,9.82
dover climbing gym,0,22,0%,10
"rockville climbing center (hamilton nj), rock climbing gym",0,22,0%,10.23
adventus climbing reviews,0,22,0%,10.36
uptown first ascent,0,22,0%,10.73
las rocas climbing gym,0,22,0%,11.55
rocknasium hours,0,22,0%,11.64
"the gravity vault, rock climbing gym, poughkeepsie",0,22,0%,12.82
"boulders & brews, rock climbing gym, fayetteville",0,22,0%,13.09
climbing gym with weightlifting,0,22,0%,13.23
hangar 18 rancho latest,0,22,0%,13.23
climbing wall for kids appleton,0,22,0%,15.64
rock climbing milltown,0,22,0%,16.45
indoor climbing st. george,0,22,0%,17.55
"momentum indoor climbing silver street, rock climbing gym, houston",0,22,0%,17.82
omaha rock climbing gym,0,22,0%,27.77
7b to v scale,0,22,0%,30.05
indoor climbing wall omaha,0,22,0%,38.73
indoor climbing wall tennessee,0,22,0%,61.86
climbing wall in illinois,0,22,0%,62.05
st george rock climbing,0,22,0%,73.86
5.15b in french grade,0,21,0%,5.29
grip bouldering grand junction,0,21,0%,6.76
indoor rock climbing clifton park,0,21,0%,7.62
plainsboro rock climbing,0,21,0%,8.52
rock climbing hillsboro,0,21,0%,8.71
lakewood climbing gym,0,21,0%,9.19
rock climbing malvern pa,0,21,0%,9.29
movement gym,0,21,0%,10.1
"summit city climbing co., rock climbing gym, fort wayne",0,21,0%,10.86
vestal rock climbing,0,21,0%,10.86
milton rock climbing gym,0,21,0%,11.1
the block reno,0,21,0%,11.19
climbing gym culver city,0,21,0%,11.24
climbing gym prices,0,21,0%,11.62
the gravity vault princeton latest,0,21,0%,11.62
"big island bouldering, rock climbing gym, plymouth",0,21,0%,12.24
mw climbing latest,0,21,0%,14.1
"the gravity vault, rock climbing gym, voorhees",0,21,0%,14.19
"shaker rocks, rock climbing gym, shaker heights",0,21,0%,15.38
minneapolis bouldering project climbing,0,21,0%,15.95
rock climbing in tempe,0,21,0%,17.29
7c to v scale,0,21,0%,30.38
7a boulder to v,0,21,0%,43.1
rock climbing st george ut,0,21,0%,79.62
indoor rock climbing nyc,0,21,0%,94.29
5.13 in french grade,0,20,0%,4.05
the loop rock climbing,0,20,0%,4.25
"read the passage. indoor bouldering is a type of rock climbing that is done 
freestyle. this means that climbers go up a wall using just their hands and 
feet, with safety padding on the ground beneath them. over the past several 
years, the sport has grown in popularity. one reason is because it provides 
a whole-body workout, activating both core strength and mental focus. 
bouldering is also social. climbing culture encourages participants to 
study bouldering problems together and support each other in climbing 
safely. what is the main, or central, idea of the passage?",0,20,0%,5
burlington rock climbing,0,20,0%,5.8
v17 in font,0,20,0%,6
rockreation hours,0,20,0%,6.2
gold country climbing gym,0,20,0%,6.55
mw rock climbing,0,20,0%,6.6
"terrain park climbing center, rock climbing gym, chico",0,20,0%,7.15
shift climbing gym,0,20,0%,7.5
"brevard rock gym, rock climbing gym, brevard",0,20,0%,7.6
rock climbing milton pa,0,20,0%,7.85
"ascent studio climbing & fitness, rock climbing gym, fort collins",0,20,0%,8.1
rock climbing goleta,0,20,0%,9.45
climb nashville west latest,0,20,0%,9.75
space city rock climbing latest,0,20,0%,10.25
rock climbing westbury,0,20,0%,10.3
font to yds,0,20,0%,10.45
rock climbing brick nj,0,20,0%,10.65
"gadrock, rock climbing gym, gadsden",0,20,0%,11.2
the district sa,0,20,0%,11.6
"dyno detroit, rock climbing gym, detroit",0,20,0%,11.95
"vertical endeavors - bloomington, rock climbing gym, bloomington",0,20,0%,12.65
indoor rock climbing outfit,0,20,0%,14
dallas bouldering gym hours and pricing,0,20,0%,14.35
recreate gym,0,20,0%,14.5
7a to yds,0,20,0%,14.6
indoor climbing santa cruz,0,20,0%,15.75
indoor rock climbing santa cruz,0,20,0%,15.95
"goat fort climbing, rock climbing gym",0,20,0%,16.55
what to wear climbing indoors,0,20,0%,24.35
indoor rock climbing attire,0,20,0%,26.75
climbing wall for kids madison,0,20,0%,26.95
shift climbing,0,20,0%,27.05
climbing wall in raleigh,0,20,0%,33.4
climbing grades converter,0,20,0%,36.3
8c+ to v scale,0,20,0%,53.5
climbing wall near wisconsin,0,20,0%,54.85
climbing wall near illinois,0,20,0%,66.25
gym memberships in arlington heights il,0,20,0%,72.05
indoor climbing wall florida,0,20,0%,84.95
5.9 to french grade,0,19,0%,3
5.13 a to french,0,19,0%,3.42
what to wear indoor bouldering,0,19,0%,4.16
5.10a to french,0,19,0%,4.53
"elevation rock gym, rock climbing gym, north logan",0,19,0%,5.11
tumblebees,0,19,0%,6.58
grass valley climbing gym,0,19,0%,7.26
grip climbing gym,0,19,0%,7.53
sender one climbing and sender city - lakewood,0,19,0%,7.63
chambers purely boulders latest,0,19,0%,7.68
"the peak climbing gym, rock climbing gym, fremont",0,19,0%,8.47
movement climbing,0,19,0%,9.21
tomo bouldering club reviews,0,19,0%,9.58
5.12d in french,0,19,0%,10.11
cayce climbing gym,0,19,0%,10.74
aloha rock gym latest,0,19,0%,10.89
boulder union,0,19,0%,12.79
"warehouse climbing co, rock climbing gym, goshen",0,19,0%,13.11
youth bouldering programs,0,19,0%,13.32
climbing roots knoxville latest,0,19,0%,13.95
movement gowanus latest,0,19,0%,14.37
climbing gym beginner,0,19,0%,14.47
rock climbing facilities near me,0,19,0%,15.95
reno climbing gym,0,19,0%,17
agility climbing gym capitola,0,19,0%,17.58
"portland rock gym, rock climbing gym, portland",0,19,0%,17.95
rock climbing overland park,0,19,0%,20.37
7b+ to v scale,0,19,0%,27.21
los angeles bouldering classes,0,19,0%,28.74
6c+ to v,0,19,0%,38.74
8a in v scale,0,19,0%,39.58
climbing wall in omaha,0,19,0%,39.84
rock climbing salt lake city,0,19,0%,42.63
climbing scale conversion,0,19,0%,52.32
8c to v scale,0,19,0%,55.63
rock climbing slc,0,19,0%,58.37
rock climbing birmingham,0,19,0%,66.26
climbing birmingham,0,19,0%,71.21
climbing wall for kids wisconsin,0,19,0%,76.58
5.10 climbing grade to french,0,18,0%,4.94
columbus rock gym,0,18,0%,4.94
cultivate climbing - foundy asheville,0,18,0%,6.56
great western power company climbing gym oakland,0,18,0%,6.56
24 hour rock climbing gym,0,18,0%,6.78
apex climbing gym reviews,0,18,0%,6.83
climbing gym mishawaka,0,18,0%,7.06
"maine bound adventure center, rock climbing gym, orono",0,18,0%,7.33
5.13d in french,0,18,0%,7.89
"grip bouldering, rock climbing gym, grand junction",0,18,0%,8.11
climb cincy reviews,0,18,0%,8.28
bloc climbing gym,0,18,0%,8.33
brattcave,0,18,0%,8.33
table rock bouldering,0,18,0%,8.44
climbing gym mechanicsburg pa,0,18,0%,8.94
"mesa rim climbing & fitness reno, rock climbing gym, reno",0,18,0%,9.17
climbing gym milwaukee,0,18,0%,9.22
how many climbing gyms in the us,0,18,0%,9.28
climbing gym huntsville,0,18,0%,9.44
rock climbing indoor,0,18,0%,9.61
"rock climb fairfield, gym/physical fitness center, fairfield",0,18,0%,9.78
el paso climbing gym,0,18,0%,10
rock climbing lawrence ks,0,18,0%,10
rock climbing binghamton,0,18,0%,10.17
vital les latest,0,18,0%,10.61
climbing gym franklin tn,0,18,0%,10.67
culver city climbing gym,0,18,0%,10.78
providence climbing gym,0,18,0%,11.22
"central rock atlanta, rock climbing gym, atlanta",0,18,0%,12.11
rock climbing indoor outfit,0,18,0%,12.17
"rock mill climbing, yoga & fitness, rock climbing gym, akron",0,18,0%,12.33
"movement gyms san francisco, rock climbing gym, san francisco",0,18,0%,15.22
coastal climbing gym,0,18,0%,15.72
"central rock hadley, rock climbing gym, hadley",0,18,0%,16.22
climbing walls indoor,0,18,0%,17.44
sender one lakewood community,0,18,0%,17.5
climbing wall for kids peoria,0,18,0%,22.94
8b boulder to v scale,0,18,0%,26.67
what to wear bouldering,0,18,0%,26.78
8b+ to v scale,0,18,0%,28.44
7b in v scale,0,18,0%,28.61
indoor climbing wall nashville,0,18,0%,30.61
what to wear rock climbing�,0,18,0%,44.39
climbing costs,0,18,0%,45.28
climbing wall near iowa,0,18,0%,49.17
dedicated bouldering centre chatham,0,18,0%,49.28
what is bouldering?,0,17,0%,3.18
average climbing gym drop-in fee us 2024,0,17,0%,4.12
5.12 to french grade,0,17,0%,4.29
v10 to font,0,17,0%,4.53
odyssey climbing appleton hours,0,17,0%,7.71
climbing gym lawrence ks,0,17,0%,7.88
5.15d in french,0,17,0%,7.94
bishop climbing gym,0,17,0%,8.06
st. augustine climbing gym,0,17,0%,8.06
boulder dash westlake,0,17,0%,8.35
"climb iowa, rock climbing gym",0,17,0%,8.35
"the edge rock gym - melbourne, rock climbing gym, melbourne",0,17,0%,8.35
rock climbing gym st. augustine,0,17,0%,8.59
climbing gym alexandria va,0,17,0%,9.06
6b in v grade,0,17,0%,9.41
"black rock bouldering gym, rock climbing gym, phoenix",0,17,0%,9.41
french to yds,0,17,0%,9.65
climbing gym peachtree city,0,17,0%,9.76
advanced climbing classes,0,17,0%,10.06
"warehouse climbing co., rock climbing gym, goshen",0,17,0%,11.24
lakewood rock climbing,0,17,0%,11.59
rock climbing st. augustine,0,17,0%,11.82
the block climbing reno,0,17,0%,11.94
"daytona climbing company, gym/physical fitness center, south daytona",0,17,0%,12.24
newark climbing gym,0,17,0%,13.12
rendezvous climbing,0,17,0%,13.24
climbing gyms in reno,0,17,0%,13.53
rock climbing norfolk,0,17,0%,13.65
"high-steppe climbing center, rock climbing gym, yakima",0,17,0%,13.71
indoor climbing wall arlington,0,17,0%,13.94
climbing gym for kids,0,17,0%,14.18
"vertical rock indoor climbing and fitness center, sports & fitness 
instruction, manassas",0,17,0%,14.59
7b boulder to v scale,0,17,0%,15.47
climbing gym pro shop,0,17,0%,16.18
"rokc climbing gym olathe, rock climbing gym, olathe",0,17,0%,19.53
climbing wall peoria,0,17,0%,35.82
indoor climbing wall milltown,0,17,0%,43
rock climbing nebraska,0,17,0%,59.12
5.13 climbing grade to french,0,16,0%,3.38
the scratch pad,0,16,0%,5.5
fourth ascent,0,16,0%,6.12
climbing training classes,0,16,0%,7
the pad santa barbara reviews,0,16,0%,7.12
"the jungle gymnastics adventure center, gymnastics center, delaware",0,16,0%,7.44
#verdigoboulders,0,16,0%,7.56
the spot bouldering gym golden,0,16,0%,7.81
ui climbing center,0,16,0%,7.81
climbing gym st. augustine,0,16,0%,7.88
indoor rock climbing st. augustine,0,16,0%,7.94
beyond the wall climbing hillsboro,0,16,0%,8.31
ninja adventure zone,0,16,0%,8.69
cultivate asheville,0,16,0%,8.81
first ascent uptown photos,0,16,0%,9.12
hyperion gym redwood city,0,16,0%,9.31
the spot golden co,0,16,0%,9.31
climbing gym duluth mn,0,16,0%,9.38
frontier climbing reviews,0,16,0%,9.81
climbing membership,0,16,0%,9.88
sarasota climbing gym,0,16,0%,9.88
the pad hours,0,16,0%,9.94
rock climbing medina,0,16,0%,10.25
hyperion bouldering,0,16,0%,10.5
rock climbing gym tallahassee,0,16,0%,10.56
"oc aerial, gym/physical fitness center, durham",0,16,0%,10.94
climbing gym for beginners,0,16,0%,12.19
framingham ma rock climbing,0,16,0%,12.25
"climb cleveland, rock climbing gym, cleveland",0,16,0%,13
indoor climbing wall morrisville,0,16,0%,13.56
rocknasium davis,0,16,0%,14.31
crux climbing pflugerville latest,0,16,0%,15.19
"approach, rock climbing gym, omaha",0,16,0%,15.88
climbing gym greensboro,0,16,0%,16.5
rock climbing fargo,0,16,0%,16.69
reno climbing gyms,0,16,0%,17.38
gym memberships in northampton massachusetts,0,16,0%,18.06
climbing gyms with auto belay,0,16,0%,18.56
climbing wall near arlington,0,16,0%,18.94
climbing walls near me,0,16,0%,23.69
climbing wall in nashville,0,16,0%,33.25
climbing wall in peoria,0,16,0%,38.44
v scale bouldering,0,16,0%,45.44
indoor rock climbing miami,0,16,0%,53.69
rock climbing vs bouldering,0,16,0%,53.75
climbing wall nebraska,0,16,0%,54.44
climbing miami,0,16,0%,55.75
climbing san diego,0,16,0%,58
salt lake city climbing,0,16,0%,61.06
indoor climbing miami,0,16,0%,68.5
climbing wall for kids north carolina,0,16,0%,84.81
climbing wall north carolina,0,16,0%,89.75
5.10 to french grade,0,15,0%,3
the pad santa barbara prices,0,15,0%,4.33
6b+ to v grade,0,15,0%,5.6
inner peaks noda latest,0,15,0%,5.93
me climbing,0,15,0%,5.93
what to wear when rock climbing indoors,0,15,0%,7.4
homewood rock climbing,0,15,0%,7.67
notch climbing gym,0,15,0%,7.67
climbing gym bremerton,0,15,0%,8.73
font vs v scale,0,15,0%,8.87
indoor rock climbing myrtle beach,0,15,0%,9.13
the pad membership,0,15,0%,9.13
blue swan boulders orlando day pass price,0,15,0%,9.27
charleston sc climbing gym,0,15,0%,9.27
rock climbing appleton wi,0,15,0%,9.6
bremerton climbing gym,0,15,0%,9.8
steamboat climbing gym,0,15,0%,9.8
climbing gym tallahassee,0,15,0%,9.93
v5 to european grade,0,15,0%,10.07
san marcos climbing gym,0,15,0%,11.13
rock climbing in st. augustine,0,15,0%,11.53
st. augustine rock climbing,0,15,0%,11.93
climbing gym tacoma,0,15,0%,12.27
rock climbing wilmington nc,0,15,0%,13.13
malden rock climbing,0,15,0%,13.4
"ascend south side, rock climbing gym, pittsburgh",0,15,0%,13.87
rock climbing oakland park,0,15,0%,13.87
"wilmington rock gym, rock climbing gym, wilmington",0,15,0%,13.87
first ascent block 37 latest,0,15,0%,14.2
climbing gym newark,0,15,0%,14.53
rock climbing class,0,15,0%,14.6
rock climbing napa,0,15,0%,14.6
gravity vault princeton,0,15,0%,14.73
"granite arch climbing center, rock climbing gym, rancho cordova",0,15,0%,14.93
randolph ma rock climbing,0,15,0%,15.67
adult bouldering classes,0,15,0%,15.73
climbing wall for kids morrisville,0,15,0%,16.47
first ascent,0,15,0%,17.07
new rock climbing gym,0,15,0%,17.47
"libby gym, gym/physical fitness center, libby",0,15,0%,17.67
indoor climbing kansas city,0,15,0%,18.13
frontier climbing,0,15,0%,19.33
west hartford ct rock climbing,0,15,0%,19.93
climbing walls venue for kids,0,15,0%,20.07
rock climbing longwood,0,15,0%,20.27
mustangs bouldering,0,15,0%,22.47
climbing wall near omaha,0,15,0%,25.33
sender one playa vista,0,15,0%,26.2
indoor climbing wall albuquerque,0,15,0%,27.2
nearby gym midvale,0,15,0%,28.27
rock climbing tampa,0,15,0%,29.13
indoor climbing wall indiana,0,15,0%,30.33
indoor rock climbing omaha ne,0,15,0%,30.73
indoor ropes course idaho,0,15,0%,30.73
what is a boulderer,0,15,0%,34.8
indoor rock climbing in miami,0,15,0%,35.4
indoor climbing wall oklahoma,0,15,0%,37.4
rock climbing attire,0,15,0%,46.4
salt lake city rock climbing,0,15,0%,48.87
difference between climbing and bouldering,0,15,0%,57.2
indoor climbing grades,0,15,0%,57.67
rock climbing clothes,0,15,0%,63.07
climbing wall miami,0,15,0%,66.67
6a to v,0,14,0%,1.21
5.10b to french,0,14,0%,3.07
"""the bloc climbing"" orlando",0,14,0%,4.93
v9 to font,0,14,0%,5.5
movement mountain view hours,0,14,0%,5.64
4949 lakewood lakewood,0,14,0%,6.07
climbing gym napa,0,14,0%,7.29
first ascent uptown reviews,0,14,0%,7.43
castle climbing club reviews,0,14,0%,7.5
rock climbing gym goleta,0,14,0%,7.57
climbing gyms st. augustine,0,14,0%,7.86
climbing gym rexburg,0,14,0%,7.93
sender city lakewood,0,14,0%,8.07
milton rock climbing,0,14,0%,8.14
hadlock student center,0,14,0%,8.71
rock climbing upland,0,14,0%,9.07
odyssey appleton wi,0,14,0%,9.21
"rogue rock gym, gym/physical fitness center, medford",0,14,0%,9.29
bouldering st. augustine,0,14,0%,9.43
rock climbing gyms near me,0,14,0%,9.5
rexburg climbing gym,0,14,0%,9.64
climb zone mall of america prices,0,14,0%,10
v8 to font grade,0,14,0%,10
climbing collective greeley,0,14,0%,10.07
first ascent uptown hours,0,14,0%,10.07
napa climbing gym,0,14,0%,10.14
hollywood boulders day pass price,0,14,0%,10.29
first ascent uptown latest,0,14,0%,10.36
goleta rock climbing gym,0,14,0%,10.43
odyssey climbing and fitness,0,14,0%,10.43
climbing wall for kids melbourne,0,14,0%,10.64
steamboat springs climbing gym,0,14,0%,10.86
"rock spot climbing wallingford, rock climbing gym, wallingford",0,14,0%,10.93
fargo climbing hours,0,14,0%,11
burlington climbing gym,0,14,0%,11.57
"mosaic climbing, rock climbing gym, loveland",0,14,0%,11.57
rock gym,0,14,0%,12.43
"latitude climbing + fitness, rock climbing gym",0,14,0%,12.57
"life time lakeville, gym/physical fitness center, lakeville",0,14,0%,12.64
rock climbing norfolk va,0,14,0%,12.71
"rocventures climbing gym, rock climbing gym, rochester",0,14,0%,12.93
"movement gyms philly, rock climbing gym",0,14,0%,13.14
climbing gym reno nv,0,14,0%,13.71
rock climbing champaign,0,14,0%,13.71
climbing gym ri,0,14,0%,13.86
climb nashville indoor climbing,0,14,0%,13.93
the edge clifton park ny,0,14,0%,14.5
indoor climbing wall appleton,0,14,0%,15
climbing gym louisville colorado,0,14,0%,16
the pad climbing gym,0,14,0%,16
climbing center near me,0,14,0%,16.29
climbing gyms las vegas,0,14,0%,16.29
hanger 18 arcadia latest,0,14,0%,16.29
ascent climbing gym near me,0,14,0%,16.43
stoneham ma rock climbing,0,14,0%,16.57
climbing wall morrisville,0,14,0%,17.57
climbing gym reno,0,14,0%,17.79
nashville climbing gym,0,14,0%,18.43
bouldering gym asheville,0,14,0%,19
rock climbing providence,0,14,0%,21
climbing wall near meridian,0,14,0%,24.14
nashville climbing gyms,0,14,0%,26.36
climbing wall omaha,0,14,0%,34.86
indoor ropes course appleton,0,14,0%,37.86
7a+ to v scale,0,14,0%,38.14
climbing wall near phoenix,0,14,0%,39.64
climbing wall in littleton,0,14,0%,40.64
rock climbing nashville,0,14,0%,41.57
rock walls near me,0,14,0%,43
first ascent uptown chicago il,0,14,0%,47.5
rock climbing chicago,0,14,0%,49.07
climbing wall in nebraska,0,14,0%,58.14
climbing grading conversion,0,14,0%,58.29
types of bouldering,0,14,0%,60.14
wall climbing miami,0,14,0%,62.5
5.12b to french,0,13,0%,3
